month,temp,RH,wind,area
7,33.94444444444444,24.9,24.14016,1
6,20.444444444444443,17.5,13.518489600000002,1
6,25.77777777777778,27.4,6.5983104,1
6,30.555555555555554,13.3,9.0123264,1
7,35.833333333333336,19.4,7.563916800000001,1
7,35.833333333333336,19.4,7.563916800000001,1
7,36.111111111111114,20.0,10.299801600000002,1
7,38.16666666666667,15.1,27.6807168,1
7,33.666666666666664,17.3,10.1388672,1
7,26.11111111111111,36.5,15.6106368,1
7,34.33333333333333,10.9,14.8059648,1
7,35.888888888888886,19.6,8.04672,1
8,27.055555555555557,45.3,8.690457600000002,1
8,32.666666666666664,18.8,17.541849600000003,1
7,28.000000000000004,24.1,16.576243200000004,1
9,10.61111111111111,77.6,8.04672,1
10,19.111111111111114,10.6,13.1966208,1
6,27.111111111111107,25.8,20.599603200000004,1
7,30.833333333333336,17.0,7.563916800000001,1
7,33.05555555555556,14.1,7.563916800000001,1
7,28.166666666666668,17.5,13.357555200000002,1
8,23.333333333333336,27.9,13.0356864,1
7,16.055555555555554,31.3,13.0356864,1
7,20.944444444444446,33.9,11.4263424,1
7,24.111111111111114,23.2,14.0012928,1
7,30.388888888888893,9.5,26.8760448,1
7,31.166666666666664,16.6,9.8169984,1
9,25.77777777777778,16.4,15.288768000000001,1
9,20.05555555555555,7.8,12.391948800000002,1
9,21.944444444444446,17.7,12.5528832,1
8,14.055555555555554,47.5,22.369881600000003,1
9,28.333333333333336,7.5,7.7248512,1
7,31.833333333333332,16.3,9.3341952,1
6,12.055555555555557,54.1,16.898112,1
11,15.055555555555555,23.3,7.563916800000001,1
7,22.166666666666668,4.1,0.9656064,1
7,24.611111111111107,17.3,16.4153088,1
7,16.277777777777775,31.0,23.979225600000003,1
7,26.166666666666664,17.8,23.4964224,1
8,27.055555555555557,18.5,9.3341952,1
9,20.944444444444446,22.6,14.323161600000002,1
9,23.27777777777778,31.7,15.127833600000002,1
9,23.22222222222222,13.5,7.563916800000001,1
6,14.055555555555554,28.5,9.173260800000001,1
7,26.22222222222222,18.8,8.2076544,1
7,28.000000000000004,12.3,5.793638400000001,1
9,10.277777777777777,14.4,15.127833600000002,1
7,30.444444444444443,15.6,9.656064,1
1,3.1111111111111116,45.7,17.8637184,1
1,8.555555555555555,10.2,11.4263424,1
2,11.500000000000002,15.4,38.302387200000005,1
4,20.555555555555554,13.0,49.889664,1
2,15.333333333333334,12.0,29.933798400000004,1
4,14.000000000000002,9.7,44.578828800000004,1
4,14.555555555555557,7.9,50.5334016,1
4,12.833333333333334,32.3,5.4717696,1
5,16.277777777777775,16.0,25.588569600000003,1
4,22.944444444444443,8.4,25.910438400000004,1
5,17.83333333333333,11.2,22.8526848,1
4,15.111111111111112,10.1,24.783897600000003,1
7,31.666666666666664,9.1,9.3341952,1
7,26.166666666666664,29.9,9.3341952,1
6,36.666666666666664,9.5,37.014912,1
5,33.833333333333336,5.5,38.9461248,1
6,24.333333333333332,43.7,38.9461248,1
6,32.83333333333333,18.9,38.9461248,1
7,31.72222222222222,26.4,10.1388672,1
7,33.888888888888886,22.2,20.2777344,1
6,33.333333333333336,7.8,13.0356864,1
6,25.833333333333336,16.9,16.09344,1
6,32.55555555555555,4.6,30.577536000000002,1
4,15.88888888888889,23.5,10.1388672,1
6,26.77777777777778,24.0,15.288768000000001,1
7,20.05555555555555,36.5,15.932505600000002,1
7,25.944444444444446,35.7,9.3341952,1
8,22.166666666666668,37.1,5.4717696,1
8,26.11111111111111,19.3,15.288768000000001,1
6,29.94444444444445,12.6,12.874752,1
8,25.77777777777778,27.7,7.7248512,1
7,27.055555555555557,29.9,14.323161600000002,1
3,18.88888888888889,17.6,10.1388672,1
8,28.055555555555554,27.9,17.541849600000003,1
7,25.388888888888893,28.2,14.966899200000002,1
5,21.666666666666664,29.0,20.599603200000004,1
5,26.22222222222222,23.5,14.0012928,1
8,34.27777777777778,13.1,9.8169984,1
8,26.44444444444444,29.8,6.1155072,1
8,23.499999999999996,32.5,20.921472,1
6,21.666666666666664,42.1,10.460736,1
8,28.055555555555554,27.9,17.541849600000003,1
